subzone_n,pln_area_n,beach_area,business_2,educational_institution,utility,special_use,waterbody,port_/_airport,park,road,business_1_-_white,commercial,light_rapid_transit,transport_facilities,health_&_medical_care,business_1,residential,sports_&_recreation,commercial_&_residential,mass_rapid_transit,civic_&_community_institution,open_space,residential_with_commercial_at_1st_storey,cemetery,reserve_site,white,place_of_worship,business_2_-_white,hotel,residential_/_institution,business_park_-_white,business_park,agriculture,pri_classification
CENTRAL WATER CATCHMENT,CENTRAL WATER CATCHMENT,0,0,0,75312.1937034726,180175.635534768,7909866.44971795,0,864153.447269273,711580.159630235,0,0,0,0,0,0,0.184206981247411,3947674.86809324,0,0,0.00721372709764785,23459091.5079941,0,0,0,0,0,0,0,0,0,0,0,OPEN SPACE
CHANGI AIRPORT,CHANGI,52183.8592035546,225754.132298026,30115.6630810863,611478.209651573,5441966.9337928,247519.78242719,23321798.6641987,338699.373740004,1023430.57320598,0,55312.357486547,0,11917.1879913727,0,0,0,0,0,0,0,57550.8955771843,0,0,3678297.008687,0,0,0,0,0,0,0,0,PORT / AIRPORT
CHANGI POINT,CHANGI,57322.7729689696,0,0,0,140.133866458772,49856.3195550561,34488.9567579762,32998.6284321164,69215.1766989804,0,0,0,0,0,0,126310.970550848,488407.420367991,48140.1893201951,0,0,0,0,0,40225.9689128205,0,0,0,48838.2280041684,0,0,0,0,SPORTS & RECREATION
CHANGI WEST,CHANGI,0,1160636.01125264,0.006510923921401,37232.0682255104,1807158.36576034,98030.7568701271,196504.830749328,0,288464.978069058,0,0,0,0,0,0,23721.5948695102,132803.979781772,0,0,489016.137880683,1482.88446346497,0,0,613464.82760803,0,0,0,0.287552849041221,0,0,0,0,SPECIAL USE
CHANGI BAY,CHANGI BAY,0,0,0,690.199418022283,1114259.71398506,0,8187.50125668136,0,16068.1553182224,0,0,0,0,0,0,0,0,0,0,0,14966.2972602609,0,0,675649.822613351,0,0,0,0,0,0,0,0,SPECIAL USE
CHOA CHU KANG CENTRAL,CHOA CHU KANG,0,0,48446.1680902268,1509.23142591834,288416.251063831,0.00342757677678618,0,113087.271446183,196426.82129103,0,22107.4089728834,692.520596978727,2146.00883563213,0,0,358322.859692372,0,0,6190.27377790348,4835.45982623775,13465.586915791,0,0,39151.7344739846,0,2500.9084386934,0,0,0,0,0,0,RESIDENTIAL
CHOA CHU KANG NORTH,CHOA CHU KANG,0,0,83271.8013028889,4485.72468319001,0,16745.2905273687,0,49692.8760424014,233744.566308464,0,14509.4784700917,0,2063.23412181972,2204.85204821592,0,592482.423951833,54405.8941480499,0,0,4144.97139705209,15875.3246370513,0,0,5055.91962794739,0,9955.53768394082,0,0,0,0,0,0,RESIDENTIAL
KEAT HONG,CHOA CHU KANG,0,0,138629.98917093,0,0,4892.6093879313,0,39964.8888833861,182538.329784269,0,16631.6428727514,0,1996.60045033048,63046.5175225346,0,664248.942708075,0,0,0,10111.8291065469,5149.86027606857,2165.61626228454,0,0,0,14427.226409796,0,0,0,0,0,0,RESIDENTIAL
PENG SIANG,CHOA CHU KANG,0,0,71721.4779517001,15128.0566075518,0,33581.4749746961,0,24188.0660984457,182208.774552324,0,12483.4125908913,0,1967.75558416979,6509.57883282546,0,497070.456455252,0,0,0,0,8361.90218791964,0,0,9516.13493405841,0,0,0,0,0,0,0,0,RESIDENTIAL
TECK WHYE,CHOA CHU KANG,0,0,103911.157799388,3688.05097016277,0.0045442079188782,47881.1549263344,0,8771.47564132466,151511.652426379,0,0,3007.23801744412,0,6150.37182914229,0,418226.862434828,0,54848.9303580054,0,4016.83127282383,2151.928966436,4071.45404541135,0,187211.077331771,0,6143.58802544774,0,0,0,0,0,0,RESIDENTIAL
